,T1 (Celsius),P1 (MPa),P2 (MPa),Efficiency (%),Mass flow rate (kg/s),Net Work (kW)
0,295.009,8.0,0.01,30.923,31.613,25000.0
1,296.828,8.211,0.01,31.112,31.415,25000.0
2,298.612,8.421,0.009,31.301,31.217,25000.0
3,300.362,8.632,0.009,31.492,31.019,25000.0
4,302.079,8.842,0.008,31.685,30.819,25000.0
5,303.766,9.053,0.008,31.882,30.617,25000.0
6,305.422,9.263,0.007,32.082,30.411,25000.0
7,307.049,9.474,0.007,32.288,30.2,25000.0
8,308.649,9.684,0.006,32.5,29.983,25000.0
9,310.223,9.895,0.006,32.719,29.758,25000.0
10,311.77,10.105,0.005,32.948,29.524,25000.0
11,313.293,10.316,0.005,33.188,29.277,25000.0
12,314.792,10.526,0.004,33.443,29.016,25000.0
13,316.268,10.737,0.004,33.717,28.734,25000.0
14,317.721,10.947,0.003,34.014,28.428,25000.0
15,319.153,11.158,0.003,34.342,28.089,25000.0
16,320.564,11.368,0.002,34.713,27.707,25000.0
17,321.955,11.579,0.002,35.145,27.262,25000.0
18,323.326,11.789,0.001,35.672,26.722,25000.0
19,324.678,12.0,0.001,36.364,26.019,25000.0
